,Uni_name,Uni_Major,Uni_Jobs,Uni_Course_lectureres,Uni_Facilities,Uni_Local_life,Uni_Societies_sports
0,University of Leeds,Accounting and Finance BSc (Hons),2.0,1.0,0.0,4.0,4.0
1,University of Leeds,Geography BA (Hons),3.0,2.0,1.0,3.0,0.0
2,University of Leeds,Chemical Engineering MEng (Hons),4.0,4.0,0.0,0.0,1.0
3,University of Leeds,Genetics BSc (Hons),4.0,3.0,4.0,4.0,0.0
4,University of Leeds,Art and Design BA (Hons),2.0,1.0,3.0,1.0,3.0
5,University of Leeds,International Business MSc,4.0,3.0,3.0,0.0,0.0
6,University of Leeds,,3.0,4.0,3.0,4.0,0.0
7,University of Leeds,,3.0,4.0,4.0,4.0,4.0
8,University of Leeds,"Music, Multimedia and Electronics BSc (Hons)",3.0,3.0,4.0,3.0,4.0
9,University of Leeds,,0.0,3.0,0.0,0.0,0.0
10,University of Leeds,,0.0,4.0,2.0,0.0,0.0
11,University of Leeds,Geography BA (Hons),0.0,4.0,3.0,4.0,0.0
12,University of Leeds,Media Industries MA,0.0,0.0,1.0,4.0,0.0
13,University of Leeds,Sustainability and Environmental Management BSc (Hons),0.0,4.0,2.0,4.0,4.0
14,University of Leeds,Health Research PGCert,4.0,3.0,4.0,3.0,0.0
15,University of Leeds,Geography BA (Hons),4.0,4.0,4.0,0.0,0.0
16,University of Leeds,Philosophy BA (Hons),4.0,4.0,4.0,4.0,0.0
17,University of Leeds,Geography BA (Hons),4.0,0.0,4.0,0.0,4.0
18,University of Leeds,English MA by Research,4.0,4.0,3.0,4.0,3.0
19,University of Leeds,Modern Languages and Linguistics BA (Hons),3.0,4.0,4.0,0.0,0.0
20,University of Leeds,French BA (Hons),4.0,2.0,2.0,0.0,0.0
21,University of Leeds,Medical Sciences BSc (Hons),0.0,4.0,3.0,0.0,0.0
22,University of Leeds,Physics BSc (Hons),3.0,4.0,4.0,3.0,0.0
23,University of Leeds,Physics BSc (Hons),4.0,4.0,0.0,4.0,0.0
24,University of Leeds,Product Design BSc (Hons),4.0,3.0,4.0,4.0,0.0
25,University of Leeds,Architectural Engineering MEng (Hons),3.0,3.0,3.0,3.0,4.0
26,University of Leeds,Physics BSc (Hons),0.0,3.0,0.0,0.0,0.0
27,University of Leeds,English Literature BA (Hons),2.0,4.0,3.0,3.0,4.0
28,University of Leeds,Healthcare Science (Cardiac Physiology) BSc (Hons),4.0,3.0,3.0,0.0,4.0
29,University of Leeds,,4.0,3.0,4.0,4.0,0.0
30,University of Leeds,"Philosophy, Psychology and Scientific Thought BA (Hons)",0.0,3.0,4.0,0.0,4.0
31,University of Leeds,English and Film Studies BA (Hons),2.0,3.0,4.0,3.0,4.0
32,University of Leeds,Music BA (Hons),3.0,4.0,3.0,4.0,0.0
33,University of Leeds,Physics BSc (Hons),0.0,4.0,4.0,4.0,0.0
34,University of Leeds,English Literature BA (Hons),4.0,4.0,4.0,4.0,0.0
35,University of Leeds,Geology BSc (Hons),4.0,4.0,4.0,4.0,4.0
36,University of Leeds,Climate Change and Environmental Policy MSc,0.0,4.0,4.0,4.0,4.0
37,University of Leeds,Accounting and Finance MSc,4.0,0.0,4.0,0.0,3.0
38,University of Leeds,Geology BSc (Hons),3.0,4.0,0.0,0.0,0.0
39,University of Leeds,Chemistry with Study Abroad MChem (Hons),0.0,0.0,0.0,0.0,0.0
40,University of Leeds,Geology BSc (Hons),0.0,4.0,3.0,4.0,4.0
41,University of Leeds,Philosophy and Politics BA (Hons),3.0,4.0,3.0,0.0,4.0
42,University of Leeds,History BA (Hons),4.0,0.0,4.0,0.0,0.0
43,University of Leeds,Psychology BSc (Hons),4.0,3.0,3.0,4.0,0.0
44,University of Leeds,English Literature BA (Hons),4.0,4.0,4.0,0.0,0.0
45,University of Leeds,English Language and Literature BA (Hons),4.0,0.0,3.0,3.0,4.0
46,University of Leeds,Business Management BA (Hons),2.0,3.0,3.0,3.0,0.0
47,University of Leeds,Sustainability and Environmental Management BSc (Hons),4.0,0.0,4.0,4.0,0.0
48,University of Leeds,German BA (Hons),3.0,2.0,4.0,0.0,4.0
49,University of Leeds,Journalism BA (Hons),3.0,4.0,4.0,0.0,0.0
50,University of Leeds,English Literature with Creative Writing BA (Hons),3.0,4.0,3.0,4.0,0.0
51,University of Leeds,Medical Sciences BSc (Hons),0.0,4.0,4.0,4.0,0.0
52,University of Leeds,Medical Sciences BSc (Hons),4.0,4.0,4.0,4.0,0.0
53,University of Leeds,History BA (Hons),4.0,4.0,4.0,4.0,0.0
54,University of Leeds,Geography BA (Hons),0.0,0.0,0.0,0.0,0.0
55,University of Leeds,Medicine MRes,0.0,3.0,4.0,4.0,0.0
56,University of Leeds,Fine Art with Contemporary Cultural Theory BA (Hons),2.0,2.0,3.0,4.0,4.0
57,University of Leeds,English Literature BA (Hons),4.0,4.0,2.0,4.0,0.0
58,University of Leeds,Chemistry BSc (Hons),4.0,4.0,4.0,4.0,0.0
59,University of Leeds,English and Film Studies BA (Hons),0.0,0.0,3.0,0.0,4.0
60,University of Leeds,Politics BA (Hons),2.0,4.0,3.0,4.0,0.0
61,University of Leeds,Mechanical Engineering MEng (Hons),0.0,4.0,3.0,4.0,0.0
62,University of Leeds,Music (Performance) BMus (Hons),3.0,3.0,3.0,4.0,4.0
63,University of Leeds,Psychology BSc (Hons),4.0,4.0,0.0,0.0,0.0
64,University of Leeds,Medicine MRes,3.0,4.0,3.0,0.0,0.0
65,University of Leeds,Chemistry MChem (Hons),0.0,2.0,3.0,0.0,4.0
66,University of Leeds,Law with French Law LLB (Hons),1.0,3.0,0.0,4.0,0.0
67,University of Leeds,Philosophy BA (Hons),3.0,4.0,3.0,0.0,0.0
68,University of Leeds,Environmental Science BSc (Hons),0.0,4.0,3.0,4.0,0.0
69,University of Leeds,Mathematics BSc (Hons),3.0,2.0,0.0,4.0,0.0
70,University of Leeds,Economics BSc (Hons),4.0,4.0,0.0,0.0,0.0
71,University of Leeds,Food Science and Nutrition BSc (Hons),4.0,4.0,4.0,0.0,0.0
72,University of Leeds,Environmental Science BSc (Hons),4.0,4.0,0.0,0.0,0.0
73,University of Leeds,Classical Civilisation and History BA (Hons),4.0,3.0,0.0,0.0,0.0
74,University of Leeds,Accounting and Finance PhD,4.0,3.0,4.0,0.0,0.0
75,University of Leeds,History of Art BA (Hons),3.0,4.0,4.0,4.0,4.0
76,University of Leeds,Business Management BA (Hons),3.0,3.0,3.0,3.0,3.0
77,University of Leeds,Fashion Design BA (Hons),3.0,1.0,3.0,0.0,0.0
